#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Sum Ctrl	Sum Exp	Delta Sum	log2FC	p-value	Adj. p-value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0003	recF	recombination protein F 	35	14.0	18.3	419.0	547.9	128.89	0.39	0.54060	1.00000
Rv0004	-	hypothetical protein Rv0004 	7	3.0	8.8	6.0	17.5	11.50	1.54	0.65860	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	42	38.5	46.4	77.0	92.8	15.84	0.27	0.66800	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	45	16.0	19.0	16.0	19.0	3.02	0.25	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	54.0	42.5	540.0	425.4	-114.62	-0.34	0.51840	1.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	22.8	34.1	91.0	136.2	45.21	0.58	0.66030	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	54.6	58.9	382.0	412.4	30.44	0.11	0.82020	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	35.3	42.4	318.0	382.0	64.00	0.26	0.71890	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	4.0	1.0	12.0	3.0	-8.96	-1.98	0.39840	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	39.0	17.9	624.0	286.9	-337.12	-1.12	0.10440	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	15	15.0	9.1	45.0	27.4	-17.61	-0.72	0.69700	1.00000
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0.0	0.0	0.0	0.0	0.00	0.00	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	11.3	15.7	34.0	47.2	13.18	0.47	0.79350	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	12.5	7.0	389.0	216.9	-172.13	-0.84	0.08680	1.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	27.9	21.5	697.0	537.2	-159.76	-0.38	0.35570	1.00000
